                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6867,                  5.749,                 4.2139,                 3.5174,                 7.7431,                 4.2042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033261,              0.0033261,              0.0033261
                      2,                 2.7301,                 4.4958,                 3.0155,                 2.6282,                  5.449,                 2.5902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066463,              0.0066463,              0.0066463
                      3,                 1.8882,                 3.3387,                 2.0343,                 1.9925,                 4.0188,                 1.7808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099532,              0.0099532,              0.0099532
                      4,                 1.6222,                 2.7511,                 1.7595,                 1.8489,                 3.2088,                 1.6212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4924,                 2.3941,                 1.6379,                 1.7629,                 2.8098,                 1.5435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4275,                 2.2005,                 1.5809,                 1.7155,                 2.6171,                 1.5044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3784,                 2.0606,                 1.5347,                 1.6779,                 2.4814,                 1.4702,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      8,                 1.3389,                 1.9542,                 1.4968,                 1.6493,                 2.3743,                 1.4422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3105,                 1.8826,                  1.472,                 1.6302,                 2.3018,                 1.4243,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2985,                 1.8243,                 1.4517,                 1.6213,                 2.2466,                 1.4068,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2822,                 1.7796,                 1.4369,                 1.6113,                  2.202,                 1.3946,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2657,                 1.7442,                 1.4242,                 1.5909,                 2.1656,                 1.3849,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,               0.009802,               0.009802,               0.009802
                     13,                 1.2543,                 1.7172,                 1.4103,                  1.582,                 2.1326,                 1.3742,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2358,                 1.6702,                  1.389,                  1.571,                 2.0856,                  1.357,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2291,                 1.6558,                 1.3806,                 1.5671,                 2.0695,                 1.3476,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.2245,                 1.6506,                 1.3757,                  1.564,                 2.0711,                 1.3452,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.2185,                 1.6194,                 1.3633,                 1.5566,                 2.0397,                 1.3343,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,               0.009703,               0.009703,               0.009703
                     18,                 1.2073,                 1.5939,                 1.3557,                 1.5455,                  2.007,                 1.3301,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.2052,                  1.588,                 1.3467,                 1.5485,                 2.0037,                 1.3217,                0.42789,                 0.3074,                0.37921,                0.25655,                  1.196,                 1.5036,                 1.4417,                 1.3839,                 1.8201,                 1.4151,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.1958,                 1.5732,                 1.3414,                 1.5322,                  1.982,                 1.3184,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.1934,                 1.5625,                 1.3355,                 1.5328,                 1.9795,                 1.3147,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.1905,                 1.5496,                 1.3309,                 1.5333,                 1.9639,                 1.3108,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,               0.009604,               0.009604,               0.009604
                     23,                 1.1864,                 1.5465,                 1.3254,                 1.5275,                 1.9599,                  1.306,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1717,                 1.5101,                 1.3135,                 1.5089,                 1.9201,                 1.2956,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.1733,                 1.5136,                 1.3119,                 1.5142,                 1.9252,                 1.2935,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0095446,              0.0095446,              0.0095446
                     26,                  1.176,                 1.5102,                 1.3078,                 1.5154,                 1.9234,                 1.2916,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1712,                 1.4981,                 1.3026,                 1.5112,                 1.9121,                 1.2878,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,               0.009505,               0.009505,               0.009505
                     28,                 1.1692,                 1.4958,                 1.3035,                  1.507,                 1.9072,                 1.2875,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.1655,                 1.4939,                 1.3005,                 1.5032,                  1.906,                 1.2843,                0.49954,                0.39237,                0.50709,                  0.359,                 1.0623,                 1.1935,                 1.2955,                 1.2667,                 1.4877,                 1.2906,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.1666,                 1.4772,                 1.2977,                 1.5059,                 1.8926,                 1.2821,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.1585,                 1.4674,                 1.2883,                 1.4986,                 1.8761,                 1.2747,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.1496,                 1.4641,                 1.2849,                 1.4859,                 1.8692,                 1.2728,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,               0.009406,               0.009406,               0.009406
                     33,                 1.1519,                 1.4548,                 1.2821,                 1.4907,                  1.867,                 1.2694,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.1465,                  1.453,                 1.2802,                 1.4857,                 1.8592,                 1.2675,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.1497,                 1.4549,                 1.2814,                 1.4854,                 1.8669,                 1.2713,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.1462,                 1.4412,                 1.2744,                 1.4825,                 1.8504,                  1.262,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.1541,                 1.4437,                 1.2818,                 1.4908,                 1.8601,                 1.2704,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,               0.009307,               0.009307,               0.009307
                     38,                 1.1471,                 1.4286,                 1.2733,                 1.4841,                 1.8394,                 1.2613,                0.50421,                0.43103,                0.55214,                0.39748,                 1.0179,                 1.0976,                 1.2413,                 1.2123,                 1.3832,                  1.238,              0.0092872,              0.0092872,              0.0092872
