                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7636,                 5.7728,                  4.245,                 3.5954,                 7.7307,                 4.2834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033275,              0.0033275,              0.0033275
                      2,                 2.9654,                 4.7778,                 3.2515,                 2.8473,                  5.879,                  2.948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066476,              0.0066476,              0.0066476
                      3,                 1.8706,                 3.3434,                 1.9766,                 1.9872,                 3.9916,                 1.7354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099546,              0.0099546,              0.0099546
                      4,                 1.5922,                 2.7207,                 1.7055,                 1.8308,                  3.179,                 1.5774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4604,                 2.3705,                 1.5882,                 1.7404,                 2.7878,                 1.5013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.3902,                  2.192,                 1.5358,                 1.6875,                 2.6122,                 1.4658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3344,                  2.043,                 1.4875,                 1.6449,                 2.4643,                 1.4289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      8,                 1.3011,                 1.9456,                  1.462,                 1.6164,                 2.3604,                 1.4103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2672,                 1.8592,                  1.438,                 1.5808,                 2.2689,                 1.3929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2569,                 1.7908,                 1.4176,                 1.5815,                 2.2038,                 1.3762,                0.42033,                0.32036,                0.38717,                0.26445,                 1.1646,                 1.4713,                 1.4192,                 1.3567,                 1.7778,                 1.3961,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2389,                  1.749,                 1.4017,                 1.5711,                 2.1617,                 1.3627,                0.42033,                0.32036,                0.38717,                0.26445,                 1.1646,                 1.4713,                 1.4192,                 1.3567,                 1.7778,                 1.3961,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2247,                  1.708,                 1.3903,                 1.5572,                 2.1203,                 1.3549,                0.42033,                0.32036,                0.38717,                0.26445,                 1.1646,                 1.4713,                 1.4192,                 1.3567,                 1.7778,                 1.3961,               0.009802,               0.009802,               0.009802
                     13,                 1.2139,                 1.6741,                  1.374,                 1.5537,                  2.093,                 1.3415,                0.42033,                0.32036,                0.38717,                0.26445,                 1.1646,                 1.4713,                 1.4192,                 1.3567,                 1.7778,                 1.3961,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1945,                 1.6264,                 1.3573,                 1.5388,                 2.0417,                 1.3259,                0.42033,                0.32036,                0.38717,                0.26445,                 1.1646,                 1.4713,                 1.4192,                 1.3567,                 1.7778,                 1.3961,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1855,                 1.6084,                 1.3456,                 1.5266,                 2.0192,                  1.317,                0.42033,                0.32036,                0.38717,                0.26445,                 1.1646,                 1.4713,                 1.4192,                 1.3567,                 1.7778,                 1.3961,              0.0097426,              0.0097426,              0.0097426
