                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7068,                 5.7563,                 4.2008,                 3.5339,                 7.7664,                 4.1961,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033261,              0.0033261,              0.0033261
                      2,                 2.6623,                   4.44,                 2.9171,                 2.5641,                 5.3841,                 2.4893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066463,              0.0066463,              0.0066463
                      3,                 1.9003,                 3.3814,                 2.0222,                 1.9941,                 4.0905,                 1.7592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099532,              0.0099532,              0.0099532
                      4,                 1.6447,                 2.8079,                 1.7592,                 1.8524,                 3.3019,                 1.6073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5175,                 2.4565,                 1.6368,                 1.7822,                 2.8937,                 1.5346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4532,                  2.263,                 1.5792,                 1.7337,                 2.6959,                 1.4957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                      7,                  1.406,                 2.1233,                 1.5356,                 1.7013,                 2.5556,                 1.4645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      8,                 1.3668,                 2.0111,                 1.4974,                 1.6734,                 2.4419,                 1.4376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3374,                 1.9428,                 1.4729,                  1.652,                 2.3746,                 1.4201,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.3236,                 1.8785,                 1.4511,                 1.6461,                 2.3109,                  1.404,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.3076,                   1.83,                 1.4366,                 1.6383,                 2.2664,                 1.3922,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2927,                 1.7934,                 1.4261,                 1.6244,                 2.2278,                 1.3853,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,               0.009802,               0.009802,               0.009802
                     13,                 1.2813,                 1.7649,                 1.4112,                 1.6152,                 2.1955,                 1.3727,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2613,                 1.7187,                 1.3912,                 1.5996,                 2.1466,                 1.3568,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2542,                 1.7047,                 1.3823,                 1.5957,                 2.1306,                 1.3481,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.2469,                 1.6989,                 1.3774,                 1.5882,                 2.1347,                 1.3473,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.2419,                 1.6686,                 1.3658,                 1.5819,                 2.1012,                 1.3364,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,               0.009703,               0.009703,               0.009703
                     18,                 1.2328,                 1.6422,                 1.3581,                 1.5722,                 2.0728,                 1.3321,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.2296,                 1.6356,                  1.351,                 1.5726,                 2.0673,                 1.3241,                0.40688,                0.29314,                 0.3554,                0.23878,                 1.2202,                 1.5644,                 1.4422,                 1.4034,                 1.8894,                 1.4098,              0.0096634,              0.0096634,              0.0096634
                     20,                   1.22,                 1.6198,                 1.3455,                 1.5571,                 2.0478,                 1.3225,                0.47425,                0.38527,                0.49093,                0.34737,                  1.086,                 1.2269,                 1.2952,                 1.2878,                 1.5349,                  1.289,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.2179,                 1.6102,                 1.3396,                 1.5595,                 2.0452,                  1.318,                0.47425,                0.38527,                0.49093,                0.34737,                  1.086,                 1.2269,                 1.2952,                 1.2878,                 1.5349,                  1.289,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.2147,                 1.6002,                 1.3356,                 1.5561,                 2.0309,                  1.313,                0.47425,                0.38527,                0.49093,                0.34737,                  1.086,                 1.2269,                 1.2952,                 1.2878,                 1.5349,                  1.289,               0.009604,               0.009604,               0.009604
                     23,                 1.2108,                 1.5902,                  1.331,                 1.5493,                  2.025,                 1.3096,                0.47425,                0.38527,                0.49093,                0.34737,                  1.086,                 1.2269,                 1.2952,                 1.2878,                 1.5349,                  1.289,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1961,                 1.5565,                 1.3169,                  1.535,                 1.9824,                 1.2989,                0.47425,                0.38527,                0.49093,                0.34737,                  1.086,                 1.2269,                 1.2952,                 1.2878,                 1.5349,                  1.289,              0.0095644,              0.0095644,              0.0095644
