                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4799,                  5.502,                  3.965,                 3.2306,                 7.0616,                 3.7748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033261,              0.0033261,              0.0033261
                      2,                 2.3484,                  4.269,                 2.6114,                 2.2109,                 5.2826,                 2.2187,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066463,              0.0066463,              0.0066463
                      3,                 1.8646,                 3.5116,                 2.0611,                  1.882,                 4.2311,                 1.7897,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099532,              0.0099532,              0.0099532
                      4,                 1.6713,                 2.9947,                 1.8477,                 1.7962,                 3.4587,                 1.6834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.577,                 2.6751,                 1.7291,                 1.7495,                  3.106,                 1.6071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5136,                 2.4978,                 1.6671,                 1.7031,                 2.9263,                  1.569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4755,                 2.3572,                 1.6171,                 1.6796,                 2.7881,                 1.5313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      8,                 1.4461,                 2.2661,                 1.5808,                 1.6609,                 2.6866,                 1.5062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.4188,                 2.1864,                 1.5464,                 1.6414,                 2.6129,                 1.4812,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.4076,                 2.1252,                 1.5254,                 1.6271,                 2.5491,                 1.4627,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.3884,                 2.0888,                 1.4994,                 1.6202,                 2.5174,                 1.4418,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.3833,                 2.0482,                 1.4878,                 1.6163,                 2.4808,                 1.4337,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,               0.009802,               0.009802,               0.009802
                     13,                 1.3706,                 2.0215,                 1.4703,                 1.6043,                 2.4543,                 1.4205,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.3518,                 1.9826,                 1.4489,                 1.5842,                 2.4129,                  1.402,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.3374,                 1.9525,                  1.433,                  1.578,                 2.3769,                 1.3904,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.3433,                 1.9494,                 1.4342,                 1.5763,                 2.3735,                 1.3922,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0097228,              0.0097228,              0.0097228
                     17,                   1.33,                 1.9237,                 1.4162,                 1.5765,                 2.3523,                 1.3741,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,               0.009703,               0.009703,               0.009703
                     18,                 1.3215,                 1.8961,                 1.4121,                 1.5634,                 2.3252,                 1.3733,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.3229,                  1.892,                 1.4053,                 1.5666,                 2.3223,                 1.3673,                0.32002,                0.21382,                0.24904,                0.16052,                 1.4235,                 1.9228,                 1.5388,                 1.5966,                 2.3005,                 1.4779,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.3104,                 1.8687,                 1.3928,                 1.5501,                 2.2953,                  1.355,                0.37421,                0.28926,                0.36338,                0.24439,                 1.2753,                 1.5588,                 1.3642,                 1.4756,                  1.938,                 1.3367,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.3062,                 1.8546,                 1.3882,                 1.5487,                 2.2805,                 1.3519,                0.37421,                0.28926,                0.36338,                0.24439,                 1.2753,                 1.5588,                 1.3642,                 1.4756,                  1.938,                 1.3367,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.3007,                 1.8616,                 1.3825,                 1.5433,                 2.2869,                 1.3459,                0.37421,                0.28926,                0.36338,                0.24439,                 1.2753,                 1.5588,                 1.3642,                 1.4756,                  1.938,                 1.3367,               0.009604,               0.009604,               0.009604
                     23,                 1.2975,                 1.8419,                 1.3748,                 1.5381,                  2.266,                 1.3404,                0.37421,                0.28926,                0.36338,                0.24439,                 1.2753,                 1.5588,                 1.3642,                 1.4756,                  1.938,                 1.3367,              0.0095842,              0.0095842,              0.0095842
                     24,                  1.287,                 1.8085,                 1.3657,                 1.5306,                 2.2348,                 1.3341,                0.37421,                0.28926,                0.36338,                0.24439,                 1.2753,                 1.5588,                 1.3642,                 1.4756,                  1.938,                 1.3367,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.2906,                 1.8146,                 1.3666,                 1.5335,                 2.2377,                 1.3339,                0.37421,                0.28926,                0.36338,                0.24439,                 1.2753,                 1.5588,                 1.3642,                 1.4756,                  1.938,                 1.3367,              0.0095446,              0.0095446,              0.0095446
