                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4872,                 5.5045,                 4.0275,                 3.2599,                 7.1163,                 3.8643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033261,              0.0033261,              0.0033261
                      2,                 2.3403,                 4.1811,                 2.6455,                 2.2077,                  5.194,                 2.2582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066463,              0.0066463,              0.0066463
                      3,                 1.8105,                 3.3035,                 2.0271,                  1.838,                  4.014,                 1.7754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099532,              0.0099532,              0.0099532
                      4,                 1.5963,                 2.7648,                 1.7902,                 1.7369,                 3.2129,                 1.6492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.489,                 2.4176,                 1.6606,                 1.6791,                  2.819,                 1.5654,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.4162,                 2.2197,                 1.5942,                 1.6214,                 2.6176,                  1.519,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3745,                 2.0767,                 1.5423,                   1.59,                 2.4777,                 1.4781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      8,                 1.3442,                 1.9819,                 1.5076,                 1.5679,                 2.3741,                 1.4522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3147,                 1.9035,                 1.4738,                 1.5471,                 2.3013,                 1.4271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2984,                 1.8358,                 1.4505,                 1.5292,                 2.2281,                 1.4088,                 0.3745,                0.27617,                0.33997,                0.22553,                  1.292,                 1.6257,                 1.4525,                 1.4873,                 1.9619,                  1.421,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2819,                 1.7971,                 1.4277,                  1.523,                 2.1951,                 1.3907,                 0.3745,                0.27617,                0.33997,                0.22553,                  1.292,                 1.6257,                 1.4525,                 1.4873,                 1.9619,                  1.421,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2729,                 1.7605,                  1.413,                 1.5165,                 2.1602,                 1.3793,                 0.3745,                0.27617,                0.33997,                0.22553,                  1.292,                 1.6257,                 1.4525,                 1.4873,                 1.9619,                  1.421,               0.009802,               0.009802,               0.009802
                     13,                 1.2606,                 1.7376,                 1.3986,                 1.5012,                 2.1357,                  1.368,                 0.3745,                0.27617,                0.33997,                0.22553,                  1.292,                 1.6257,                 1.4525,                 1.4873,                 1.9619,                  1.421,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2415,                 1.6975,                 1.3776,                 1.4877,                 2.0884,                 1.3524,                 0.3745,                0.27617,                0.33997,                0.22553,                  1.292,                 1.6257,                 1.4525,                 1.4873,                 1.9619,                  1.421,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2309,                 1.6693,                 1.3645,                 1.4796,                 2.0555,                   1.34,                 0.3745,                0.27617,                0.33997,                0.22553,                  1.292,                 1.6257,                 1.4525,                 1.4873,                 1.9619,                  1.421,              0.0097426,              0.0097426,              0.0097426
