                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7391,                 5.7988,                 4.2555,                  3.568,                 7.7153,                 4.3277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033288,              0.0033288,              0.0033288
                      2,                 3.3416,                 5.2473,                  3.652,                 3.1819,                 6.6026,                 3.4691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006649,               0.006649,               0.006649
                      3,                 1.9129,                 3.4595,                 1.9885,                 2.0144,                 4.0675,                 1.7384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099559,              0.0099559,              0.0099559
                      4,                 1.5762,                 2.7146,                 1.6769,                 1.8079,                 3.1652,                  1.551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4312,                 2.3264,                 1.5509,                  1.709,                 2.7407,                  1.469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.3551,                 2.1252,                  1.489,                  1.651,                  2.537,                 1.4244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                      7,                  1.307,                 2.0033,                 1.4453,                 1.6156,                 2.4169,                 1.3916,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      8,                 1.2728,                 1.8909,                  1.416,                 1.5854,                 2.2948,                 1.3696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2468,                 1.8132,                 1.3936,                 1.5645,                 2.2218,                 1.3522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2306,                 1.7638,                 1.3751,                 1.5612,                 2.1753,                 1.3379,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2071,                 1.7147,                 1.3575,                 1.5392,                 2.1242,                 1.3244,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0098218,              0.0098218,              0.0098218
                     12,                  1.199,                 1.6687,                 1.3484,                 1.5313,                 2.0826,                 1.3168,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,               0.009802,               0.009802,               0.009802
                     13,                 1.1783,                 1.6285,                   1.33,                 1.5125,                 2.0374,                 1.3029,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1649,                 1.5942,                 1.3175,                 1.4965,                 1.9971,                 1.2929,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1589,                  1.572,                 1.3129,                 1.4912,                 1.9737,                 1.2893,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.1629,                 1.5643,                  1.312,                 1.4941,                 1.9708,                 1.2894,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0097228,              0.0097228,              0.0097228
                     17,                  1.149,                  1.532,                 1.2967,                 1.4825,                 1.9367,                 1.2753,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,               0.009703,               0.009703,               0.009703
                     18,                 1.1416,                 1.5107,                 1.2899,                 1.4764,                 1.9181,                 1.2691,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0096832,              0.0096832,              0.0096832
                     19,                  1.136,                 1.4958,                 1.2815,                 1.4726,                 1.9019,                 1.2642,                0.42576,                0.33732,                 0.4101,                0.28424,                 1.1212,                 1.4077,                 1.3637,                 1.3183,                 1.7126,                 1.3469,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.1274,                 1.4819,                 1.2771,                 1.4649,                 1.8868,                 1.2607,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.1256,                 1.4729,                 1.2744,                 1.4607,                 1.8737,                 1.2588,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.1187,                 1.4654,                   1.27,                 1.4516,                 1.8636,                 1.2548,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,               0.009604,               0.009604,               0.009604
                     23,                 1.1141,                 1.4468,                 1.2644,                 1.4447,                 1.8474,                 1.2495,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1093,                 1.4302,                 1.2611,                 1.4419,                   1.83,                 1.2473,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0095644,              0.0095644,              0.0095644
                     25,                  1.103,                 1.4257,                 1.2554,                 1.4401,                 1.8286,                 1.2413,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.1071,                 1.4235,                 1.2554,                 1.4432,                 1.8245,                 1.2433,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1074,                 1.4234,                 1.2517,                 1.4434,                 1.8257,                 1.2407,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,               0.009505,               0.009505,               0.009505
                     28,                 1.1018,                 1.4064,                 1.2511,                 1.4357,                 1.8074,                 1.2404,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.1009,                 1.4082,                 1.2497,                 1.4341,                 1.8095,                 1.2389,                0.49388,                0.41387,                 0.5254,                0.37962,                 1.0108,                 1.1381,                 1.2532,                  1.203,                 1.4285,                 1.2482,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.0991,                 1.3918,                 1.2457,                 1.4346,                 1.7949,                 1.2348,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0916,                 1.3888,                  1.242,                 1.4298,                 1.7884,                 1.2306,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0831,                  1.373,                 1.2346,                 1.4165,                 1.7684,                 1.2258,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,               0.009406,               0.009406,               0.009406
                     33,                 1.0903,                 1.3724,                 1.2378,                 1.4265,                 1.7699,                 1.2291,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.0812,                 1.3737,                 1.2348,                 1.4145,                 1.7701,                 1.2252,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.0804,                 1.3661,                 1.2334,                 1.4144,                 1.7673,                 1.2259,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0838,                   1.35,                 1.2281,                 1.4205,                 1.7473,                 1.2201,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.0799,                 1.3577,                 1.2319,                 1.4091,                 1.7544,                 1.2242,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,               0.009307,               0.009307,               0.009307
                     38,                 1.0755,                 1.3467,                 1.2269,                 1.4126,                 1.7453,                 1.2184,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.0674,                 1.3355,                 1.2197,                 1.4008,                 1.7316,                 1.2138,                0.50626,                0.42697,                0.54824,                0.39862,                0.99037,                 1.0958,                 1.2308,                 1.1782,                 1.3803,                 1.2266,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.0711,                 1.3371,                 1.2218,                 1.4057,                  1.733,                 1.2155,                0.52349,                0.42532,                0.55451,                0.40444,                0.98589,                 1.1076,                 1.2265,                 1.1691,                 1.3896,                 1.2215,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.0742,                 1.3366,                 1.2241,                 1.4066,                 1.7327,                 1.2176,                0.52349,                0.42532,                0.55451,                0.40444,                0.98589,                 1.1076,                 1.2265,                 1.1691,                 1.3896,                 1.2215,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.0713,                 1.3336,                 1.2219,                 1.4067,                  1.729,                 1.2146,                0.52349,                0.42532,                0.55451,                0.40444,                0.98589,                 1.1076,                 1.2265,                 1.1691,                 1.3896,                 1.2215,               0.009208,               0.009208,               0.009208
                     43,                 1.0716,                 1.3321,                 1.2203,                 1.4062,                  1.728,                 1.2127,                0.52349,                0.42532,                0.55451,                0.40444,                0.98589,                 1.1076,                 1.2265,                 1.1691,                 1.3896,                 1.2215,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.0637,                 1.3219,                  1.218,                 1.3936,                 1.7167,                 1.2121,                0.52349,                0.42532,                0.55451,                0.40444,                0.98589,                 1.1076,                 1.2265,                 1.1691,                 1.3896,                 1.2215,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.0667,                 1.3253,                 1.2174,                 1.4004,                 1.7235,                 1.2113,                0.52349,                0.42532,                0.55451,                0.40444,                0.98589,                 1.1076,                 1.2265,                 1.1691,                 1.3896,                 1.2215,              0.0091486,              0.0091486,              0.0091486
